source,target,value
Mod_ruby,Mod_python,1
NAT,NAT_Traversal,1
NAT,Auto_NAT,1
NAT,External_profile,1
NAT,ACL,1
NAT,Bkw_nat_transcript,1
Java_ESL,Event_Socket_Library,1
Java_ESL,Java_ESL_Client,1
Java_ESL,Mod_event_socket,1
Mod_mono,Mod_event_socket_dotnet,1
Mod_java,Mod_python,1
FetchURLFile,Javascript,1
Javascript_FileIO_data,Javascript,1
Javascript_Session_SayPhrase,Speech_Phrase_Management,1
GetGlobalVar,SetGlobalVariable,1
Javascript_DB_Path,Javascript,1
ACL,Acl.conf.xml,1
ACL,Event_Socket,1
ACL,Hangup_Causes,1
ACL,Sofia,1
ACL,QoS,1
ACL,Dialplan_XML,1
ACL,Misc._Dialplan_Tools_respond,1
External_profile,General_NAT_example_scenarios,1
Auto_NAT,Sofia.conf.xml,1
Auto_NAT,Reporting_Bugs,1
Auto_NAT,NAT,1
Auto_NAT,Mod_portaudio,1
Event_Socket_Library,Mod_commands,1
Event_Socket_Library,Python_ESL,1
Event_Socket_Library,PHP_ESL,1
Event_Socket_Library,Event_Socket_Library,1
Event_Socket_Library,Ruby_ESL,1
Event_Socket_Library,Event_Socket,1
Event_Socket_Library,Mod_event_socket,1
Event_Socket_Library,Mod_commands,1
Event_Socket_Library,Event_Socket,1
Event_Socket_Library,Event_socket_outbound,1
Event_Socket_Library,Event_Socket_Library,1
Event_Socket_Library,Mod_dptools,1
Event_Socket_Library,Perl_ESL,1
Event_Socket_Library,Event_Socket_Library,1
Event_Socket_Library,Event_Socket_Library,1
Event_Socket_Library,Event_socket_outbound,1
Mod_event_socket_dotnet,Mod_managed,1
NAT_Traversal,ALG,1
NAT_Traversal,External_profile,1
NAT_Traversal,Natted_Softphone_ATA,1
NAT_Traversal,NAT,1
NAT_Traversal,ACL,1
NAT_Traversal,General_NAT_example_scenarios,1
Javascript_DB_Close,Javascript,1
Javascript_DB_Prepare,Javascript,1
GetGlobalVariable,SetGlobalVariable,1
FreeSWITCH_databases,Mod_db,1
FreeSWITCH_databases,Mod_nibblebill,1
FreeSWITCH_databases,Using_ODBC_in_the_core,1
FreeSWITCH_databases,ODBC,1
FreeSWITCH_databases,Mod_cidlookup,1
FreeSWITCH_databases,Mod_voicemail,1
FreeSWITCH_databases,PostgreSQL_in_the_core,1
FreeSWITCH_databases,Voicemail.conf.xml,1
FreeSWITCH_databases,Sofia.conf.xml,1
FreeSWITCH_databases,Mod_dingaling,1
FreeSWITCH_databases,Lcr.conf.xml,1
FreeSWITCH_databases,Mod_lcr,1
FreeSWITCH_databases,Mod_sofia,1
Data_source_name,ODBC,1
Data_source_name,PostgreSQL_in_the_core,1
Data_source_name,Using_ODBC_in_the_core,1
General_NAT_example_scenarios,Natted_Softphone_ATA,1
General_NAT_example_scenarios,Auto_NAT,1
General_NAT_example_scenarios,External_profile,1
General_NAT_example_scenarios,NAT_Traversal,1
ODBC_DSN,ODBC,1
Python_ESL,ESL,1
Natted_Softphone_ATA,NAT,1
Natted_Softphone_ATA,Sipura_STUN,1
Natted_Softphone_ATA,NAT_Traversal,1
ALG,Auto_NAT,1
ALG,NAT,1
Perl_ESL,Ivrd,1
DB_Prepare,Javascript,1
Event_socket_outbound,Event_Socket_Library,1
Event_socket_outbound,Event_Socket,1
Event_socket_outbound,Java_ESL_Client,1
Event_socket_outbound,Event_Socket,1
Acl.conf.xml,ACL,1
Perl_event_socket_client,Perl_freeswitch_client_example,1
Perl_event_socket_client,ESL,1
Lcr.conf.xml,Default_Configuration,1
Javascript_DB_Fetch,DB,1
Global_Variable_local_ip_v4,Vars.xml,1
Javascript_DB_Next,Javascript_DB_Fetch,1
Javascript_DB_Next,DB,1
Javascript_DB_Exec,Javascript_DB_Prepare,1
ODBC.close,ODBC,1
ODBC.execute,ODBC,1
ODBC.execute,ODBC.query,1
ODBC.connect,ODBC,1
ODBC.exec,ODBC.query,1
ODBC.exec,ODBC.execute,1
ODBC_Example,ODBC,1
ODBC_Example,Mod_spidermonkey_odbc,1
ESL,Mod_commands,1
ESL,Python_ESL,1
ESL,PHP_ESL,1
ESL,Event_Socket_Library,1
ESL,Ruby_ESL,1
ESL,Event_Socket,1
ESL,Mod_event_socket,1
ESL,Mod_commands,1
ESL,Event_Socket,1
ESL,Event_socket_outbound,1
ESL,Event_Socket_Library,1
ESL,Mod_dptools,1
ESL,Perl_ESL,1
ESL,Event_Socket_Library,1
ESL,Event_Socket_Library,1
ESL,Event_socket_outbound,1
Javascript_Misc_system,File.open,1
Javascript_Misc_system,File,1
Javascript_Misc_include,Javascript,1
Javascript_Misc_FileDelete,Javascript,1
Perl_freeswitch_client_example,Mod_conference,1
Perl_freeswitch_client_example,Perl_ESL,1
Perl_freeswitch_client_example,ESL,1
Javascript_Misc_email,Javascript,1
DB_fetch,DB,1
DB_exec,Javascript_DB_Prepare,1
DB_next,Javascript_DB_Fetch,1
DB_next,DB,1
Javascript_Misc_console_log,Javascript,1
ApiExecute,Command_reference,1
ApiExecute,Session_execute,1
FetchURLHash,Javascript,1
Javascript_FileIO_read,Javascript,1
File.open,File,1
Javascript_FileIO_write,Javascript,1
FetchUrl,Javascript,1
Run,Javascript,1
Mod_perl,Which_scripting_language_should_I_use%3F,1
Mod_perl,Dialplan,1
Mod_perl,Enum_/_e164_VoIP_CNAM_Dips,1
Mod_perl,Perl,1
Mod_perl,Mod_perl_and_Generating_XML,1
Mod_perl,Mod_xml_curl,1
Mod_perl,Mod_perl_and_Programming_for_Standard_Execution,1
Mod_perl,Mod_perl_functions_and_classes,1
Mod_perl,Mod_perl_Rosetta,1
Mod_perl,Mod_perl_Hangup_Hook,1
Perl_DialPlan_Executor_Example_2,Mod_perl,1
Perl_DialPlan_Executor_Example_2,Perl_DialPlan_Executor_Example,1
Mod_perl_Rosetta,Mod_perl_functions_and_classes,1
Command_reference,Javascript,1
Command_reference,Event_Socket,1
Command_reference,Mod_commands,1
Dial_Plan_Action_Perl_Example,Perl_DialPlan_Executor_Example_2,1
Converting_Asterisk_Dialplans_to_FreeSWITCH,Dialplan_XML,1
Javascript_File_output,Javascript,1
Converting_Asterisk_to_FreeSWITCH,Getting_Started_Guide,1
Converting_Asterisk_to_FreeSWITCH,Make_API_calls_directly_from_Lua_code,1
Converting_Asterisk_to_FreeSWITCH,Dialplan_XML,1
Converting_Asterisk_to_FreeSWITCH,Event_Socket,1
Converting_Asterisk_to_FreeSWITCH,Dialplan_XML,1
Converting_Asterisk_to_FreeSWITCH,Sofia_Configuration_Files,1
Converting_Asterisk_to_FreeSWITCH,Tested_Phone_Providers_Listing,1
Converting_Asterisk_to_FreeSWITCH,Rosetta_Stone,1
Converting_Asterisk_to_FreeSWITCH,Dialplan_XML,1
Converting_Asterisk_to_FreeSWITCH,Mod_commands,1
FreeSwitch_Scheduler_API,Mod_commands,1
Mod_perl_and_Generating_XML,Mod_perl,1
Mod_perl_and_Generating_XML,Mod_perl_Rosetta,1
Javascript_File_isNative,Javascript,1
Which_scripting_language_should_I_use%3F,Mod_perl,1
Which_scripting_language_should_I_use%3F,Javascript,1
Which_scripting_language_should_I_use%3F,Mod_lua,1
Which_scripting_language_should_I_use%3F,Mod_python,1
Mod_perl_Hangup_Hook,Mod_perl,1
Mod_perl_Hangup_Hook,Mod_spandsp,1
Javascript_File_position,Javascript,1
Javascript_File_hasAutoFlush,Javascript,1
Javascript_File_hasRandomAccess,Javascript,1
Javascript_File_lastModified,Javascript,1
Javascript_File_size,Javascript,1
Dialplan_Action_Perl_Example,Perl_DialPlan_Executor_Example_2,1
Perl_Live_Session_Intercept_IVR_Example,Perl_Console_IVR_Example,1
Javascript_File_creationTime,Javascript,1
Javascript_File_mode,Javascript,1
Make_API_calls_directly_from_Lua_code,Mod_commands,1
Make_API_calls_directly_from_Lua_code,Mod_lua,1
Make_API_calls_directly_from_Lua_code,Lua_MythTV_alert_example,1
Make_API_calls_directly_from_Lua_code,IVR,1
Make_API_calls_directly_from_Lua_code,Fakecall_responder,1
Javascript_File_type,Javascript,1
Javascript_File_isOpen,Javascript,1
Javascript_File_canReplace,Javascript,1
Javascript_File_canRead,Javascript,1
Javascript_File_canAppend,Javascript,1
Javascript_File_canWrite,Javascript,1
Javascript_File_exists,File,1
Javascript_File_name,Javascript,1
Javascript_File_isDirectory,Javascript,1
Javascript_File_path,Javascript,1
Javascript_File_input,Javascript,1
Javascript_File_isFile,Javascript,1
Javascript_File_error,Javascript,1
Javascript_File_parent,Javascript,1
IVR,Examples_directory_py,1
IVR,Freeswitch_IVR_Originate,1
IVR,Demo-ivr.xml,1
IVR,JavaScript_Example_afterhoursivr.js,1
IVR,Javascript_Examples,1
IVR,Examples_dbivrmenu_dbcreate_js,1
